Algoritm de Sortare,Lungimea Listei,Timp (s)
Bubble Sort,849,0.027325868606567383
Merge Sort,849,0.0010471343994140625
Quick Sort,849,0.0011687278747558594
Heap Sort,849,0.0014522075653076172
Timsort,849,8.988380432128906e-05
Bubble Sort,217,0.0012352466583251953
Merge Sort,217,0.0002205371856689453
Quick Sort,217,0.00023174285888671875
Heap Sort,217,0.0002875328063964844
Timsort,217,1.71661376953125e-05
Bubble Sort,774,0.02057623863220215
Merge Sort,774,0.0013349056243896484
Quick Sort,774,0.0009813308715820312
Heap Sort,774,0.0013234615325927734
Timsort,774,7.653236389160156e-05
Bubble Sort,761,0.017113208770751953
Merge Sort,761,0.0009267330169677734
Quick Sort,761,0.0008883476257324219
Heap Sort,761,0.0012693405151367188
Timsort,761,7.319450378417969e-05
Bubble Sort,306,0.002463817596435547
Merge Sort,306,0.00032806396484375
Quick Sort,306,0.0003478527069091797
Heap Sort,306,0.0004315376281738281
Timsort,306,2.4318695068359375e-05
Bubble Sort,834,0.022268056869506836
Merge Sort,834,0.001008749008178711
Quick Sort,834,0.0009849071502685547
Heap Sort,834,0.0014061927795410156
Timsort,834,7.939338684082031e-05
Bubble Sort,828,0.02396535873413086
Merge Sort,828,0.001007080078125
Quick Sort,828,0.0011920928955078125
Heap Sort,828,0.0015802383422851562
Timsort,828,8.20159912109375e-05
Bubble Sort,116,0.0003657341003417969
Merge Sort,116,0.00011181831359863281
Quick Sort,116,0.0001201629638671875
Heap Sort,116,0.00012874603271484375
Timsort,116,9.059906005859375e-06
Bubble Sort,472,0.0066776275634765625
Merge Sort,472,0.0010411739349365234
Quick Sort,472,0.0005381107330322266
Heap Sort,472,0.0007121562957763672
Timsort,472,4.315376281738281e-05
Bubble Sort,843,0.023037433624267578
Merge Sort,843,0.0010385513305664062
Quick Sort,843,0.001043558120727539
Heap Sort,843,0.0014600753784179688
Timsort,843,8.344650268554688e-05
